Weight	Self Weight	Symbol Names
283.33 µs   0.0%	283.33 µs	                void __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus)>::callback_fn<void withStatusRecordLock<swift_task_hasTaskGroupStatusRecordImpl()::$_0>(swift::AsyncTask*, swift_task_hasTaskGroupStatusRecordImpl()::$_0&&, __swift::__runtime::llvm::function_ref<void (swift::ActiveTaskStatus, swift::ActiveTaskStatus&)>)::'lambda'(swift::ActiveTaskStatus)>(long, swift::ActiveTaskStatus)
79.67 µs   0.0%	0 s	              swift::concurrency::trace::task_status_changed(swift::AsyncTask*, unsigned char, bool, bool, bool, bool, bool)
79.67 µs   0.0%	79.67 µs	               swift::concurrency::trace::task_status_changed(swift::AsyncTask*, unsigned char, bool, bool, bool, bool, bool)
74.04 µs   0.0%	0 s	             swift::_swift_task_alloc_specific(swift::AsyncTask*, unsigned long)
74.04 µs   0.0%	74.04 µs	              swift::_swift_task_alloc_specific(swift::AsyncTask*, unsigned long)
151.21 µs   0.0%	0 s	            swift::_swift_task_alloc_specific(swift::AsyncTask*, unsigned long)
151.21 µs   0.0%	0 s	             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
151.21 µs   0.0%	151.21 µs	              swift::_swift_task_alloc_specific(swift::AsyncTask*, unsigned long)
140.71 µs   0.0%	0 s	            _swift_pod_copy
140.71 µs   0.0%	0 s	             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
140.71 µs   0.0%	140.71 µs	              _swift_pod_copy
80.67 µs   0.0%	0 s	            _platform_memmove
80.67 µs   0.0%	0 s	             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
80.67 µs   0.0%	80.67 µs	              _platform_memmove
80.54 µs   0.0%	80.54 µs	            TaskLocal.withValueImpl<A>(_:operation:isolation:file:line:)
24.50 µs   0.0%	0 s	            swift_task_alloc
24.50 µs   0.0%	0 s	             swift::StackAllocator<984ul, &swift::TaskAllocatorSlabMetadata>::getSlabForAllocation(unsigned long)
24.50 µs   0.0%	24.50 µs	              swift::StackAllocator<984ul, &swift::TaskAllocatorSlabMetadata>::getSlabForAllocation(unsigned long)
6.84 ms   0.0%	0 s	           TaskLocal.withValueImpl<A>(_:operation:isolation:file:line:)
5.00 ms   0.0%	0 s	            <deduplicated_symbol>
5.00 ms   0.0%	0 s	             swift_task_getCurrent
5.00 ms   0.0%	0 s	              completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	               swift_task_getCurrent
1.62 ms   0.0%	0 s	            <deduplicated_symbol>
1.54 ms   0.0%	0 s	             closure #1 in withKnownIssue(_:isIntermittent:isolation:sourceLocation:_:when:matching:)
1.46 ms   0.0%	0 s	              partial apply for closure #1 in closure #1 in static FuzzStateMachine.captureIssues(sourceLocation:test:)
946.21 µs   0.0%	0 s	               closure #1 in closure #1 in static FuzzStateMachine.captureIssues(sourceLocation:test:)
522.58 µs   0.0%	0 s	                closure #1 in closure #1 in closure #1 in variable initialization expression of benchmarks
