Weight	Self Weight	Symbol Names
2.74 ms   0.0%	2.74 ms	                swift_task_alloc
1.67 ms   0.0%	0 s	              swift_task_getCurrent
1.67 ms   0.0%	0 s	               completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
1.67 ms   0.0%	1.67 ms	                swift_task_getCurrent
369.96 µs   0.0%	0 s	              DYLD-STUB$$swift_task_dealloc
369.96 µs   0.0%	0 s	               completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
369.96 µs   0.0%	369.96 µs	                DYLD-STUB$$swift_task_dealloc
59.10 ms   0.0%	0 s	             closure #1 in withKnownIssue(_:isIntermittent:isolation:sourceLocation:_:when:matching:)
26.90 ms   0.0%	0 s	              swift_task_alloc
21.90 ms   0.0%	0 s	               swift::StackAllocator<984ul, &swift::TaskAllocatorSlabMetadata>::getSlabForAllocation(unsigned long)
21.90 ms   0.0%	21.90 ms	                swift::StackAllocator<984ul, &swift::TaskAllocatorSlabMetadata>::getSlabForAllocation(unsigned long)
5.00 ms   0.0%	5.00 ms	               swift_task_alloc
17.20 ms   0.0%	17.18 ms	              closure #1 in withKnownIssue(_:isIntermittent:isolation:sourceLocation:_:when:matching:)
23.33 µs   0.0%	0 s	               0xfffffe000885befc (kernel.release.t6031 +0x184ff07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
23.33 µs   0.0%	0 s	                0xfffffe000889fc60 (kernel.release.t6031 +0x1893d7f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
23.33 µs   0.0%	0 s	                 0xfffffe00088e3228 (kernel.release.t6031 +0x18d7319) <4884B2A4-D648-3989-A74C-9F242960BE5B>
23.33 µs   0.0%	23.33 µs	                  0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8931) <4884B2A4-D648-3989-A74C-9F242960BE5B>
10.00 ms   0.0%	0 s	              swift::StackAllocator<984ul, &swift::TaskAllocatorSlabMetadata>::getSlabForAllocation(unsigned long)
