Weight	Self Weight	Symbol Names
4.14 ms   0.0%	0 s	                     firehose_buffer_tracepoint_reserve_slow.cold.1
4.14 ms   0.0%	0 s	                      firehose_buffer_tracepoint_reserve_wait_for_chunks_from_logd
4.07 ms   0.0%	0 s	                       __FIREHOSE_CLIENT_THROTTLED_DUE_TO_HEAVY_LOGGING__
4.07 ms   0.0%	0 s	                        firehose_client_send_push_and_wait
4.07 ms   0.0%	0 s	                         firehose_send_push_and_wait
4.07 ms   0.0%	0 s	                          mach_msg
4.07 ms   0.0%	0 s	                           mach_msg_overwrite
4.07 ms   0.0%	0 s	                            mach_msg2_trap
4.07 ms   0.0%	0 s	                             completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
4.07 ms   0.0%	0 s	                              mach_msg2_trap
3.99 ms   0.0%	0 s	                               0xfffffe000885b8d0 (kernel.release.t6031 +0x184f917) <4884B2A4-D648-3989-A74C-9F242960BE5B>
3.99 ms   0.0%	0 s	                                0xfffffe0008a1fa64 (kernel.release.t6031 +0x1a13d2f) <4884B2A4-D648-3989-A74C-9F242960BE5B>
3.99 ms   0.0%	0 s	                                 0xfffffe0008a19e44 (kernel.release.t6031 +0x1a0dfc3) <4884B2A4-D648-3989-A74C-9F242960BE5B>
3.99 ms   0.0%	0 s	                                  0xfffffe000889b54c (kernel.release.t6031 +0x188f8fb) <4884B2A4-D648-3989-A74C-9F242960BE5B>
3.91 ms   0.0%	0 s	                                   0xfffffe000889b18c (kernel.release.t6031 +0x188f2cf) <4884B2A4-D648-3989-A74C-9F242960BE5B>
3.91 ms   0.0%	0 s	                                    0xfffffe00088859f0 (kernel.release.t6031 +0x1879c07) <4884B2A4-D648-3989-A74C-9F242960BE5B>
3.91 ms   0.0%	0 s	                                     0xfffffe0008886618 (kernel.release.t6031 +0x187ab00) <4884B2A4-D648-3989-A74C-9F242960BE5B>
3.91 ms   0.0%	3.91 ms	                                      0xfffffe00088e3228 (kernel.release.t6031 +0x18d7317) <4884B2A4-D648-3989-A74C-9F242960BE5B>
79.17 µs   0.0%	0 s	                                   0xfffffe000889b2fc (kernel.release.t6031 +0x188f4db) <4884B2A4-D648-3989-A74C-9F242960BE5B>
79.17 µs   0.0%	0 s	                                    0xfffffe0008886d6c (kernel.release.t6031 +0x187adf4) <4884B2A4-D648-3989-A74C-9F242960BE5B>
79.17 µs   0.0%	0 s	                                     0xfffffe00088e3228 (kernel.release.t6031 +0x18d7317) <4884B2A4-D648-3989-A74C-9F242960BE5B>
79.17 µs   0.0%	79.17 µs	                                      0xfffffe00088e42a0 (kernel.release.t6031 +0x18d8829) <4884B2A4-D648-3989-A74C-9F242960BE5B>
78.87 µs   0.0%	0 s	                               0xfffffe0008886ecc (kernel.release.t6031 +0x187b383) <4884B2A4-D648-3989-A74C-9F242960BE5B>
78.87 µs   0.0%	78.87 µs	                                0xfffffe0008887384 (kernel.release.t6031 +0x187b385) <4884B2A4-D648-3989-A74C-9F242960BE5B>
36.25 µs   0.0%	0 s	                       _platform_memset
36.25 µs   0.0%	0 s	                        completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
36.25 µs   0.0%	36.25 µs	                         _platform_memset
34.12 µs   0.0%	0 s	                       firehose_client_send_push_and_wait
34.12 µs   0.0%	0 s	                        firehose_send_push_and_wait
34.12 µs   0.0%	0 s	                         mach_msg
34.12 µs   0.0%	0 s	                          mach_msg_overwrite
34.12 µs   0.0%	0 s	                           mach_msg2_trap
34.12 µs   0.0%	0 s	                            completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
34.12 µs   0.0%	0 s	                             mach_msg2_trap
34.12 µs   0.0%	0 s	                              0xfffffe0008886ecc (kernel.release.t6031 +0x187b383) <4884B2A4-D648-3989-A74C-9F242960BE5B>
34.12 µs   0.0%	34.12 µs	                               0xfffffe0008887384 (kernel.release.t6031 +0x187b385) <4884B2A4-D648-3989-A74C-9F242960BE5B>
63.54 µs   0.0%	0 s	                     firehose_drain_notifications_once
63.54 µs   0.0%	0 s	                      mach_msg
63.54 µs   0.0%	0 s	                       mach_msg_overwrite
63.54 µs   0.0%	0 s	                        mach_msg2_trap
63.54 µs   0.0%	0 s	                         completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
63.54 µs   0.0%	63.54 µs	                          mach_msg2_trap
3.64 ms   0.0%	3.64 ms	                    voucher_activity_trace_v_2
2.03 ms   0.0%	0 s	                    _platform_memset
2.03 ms   0.0%	0 s	                     completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
2.03 ms   0.0%	2.03 ms	                      _platform_memset
337.96 µs   0.0%	0 s	                    firehose_buffer_stream_chunk_install
337.96 µs   0.0%	337.96 µs	                     firehose_buffer_stream_chunk_install
36.04 ms   0.0%	0 s	                   os_log_backtrace_serialize_to_blob
16.76 ms   0.0%	16.76 ms	                    os_log_backtrace_serialize_to_blob
14.00 ms   0.0%	0 s	                    uuid_unpack
14.00 ms   0.0%	0 s	                     completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
14.00 ms   0.0%	14.00 ms	                      uuid_unpack
5.28 ms   0.0%	0 s	                    uuid_compare
5.28 ms   0.0%	5.28 ms	                     uuid_compare
15.89 ms   0.0%	0 s	                   mach_continuous_time
15.89 ms   0.0%	15.89 ms	                    mach_continuous_time
5.29 ms   0.0%	0 s	                   DYLD-STUB$$uuid_compare
5.29 ms   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.29 ms   0.0%	5.29 ms	                     DYLD-STUB$$uuid_compare
5.00 ms   0.0%	0 s	                   uuid_copy
5.00 ms   0.0%	0 s	                    completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                     uuid_copy
5.00 ms   0.0%	0 s	                   zone_free_definite_size
5.00 ms   0.0%	5.00 ms	                    zone_free_definite_size
1.37 ms   0.0%	0 s	                   _platform_memmove
