Weight	Self Weight	Symbol Names
5.00 ms   0.0%	0 s	          completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	           destroy for CoverageGapPlugin
5.00 ms   0.0%	0 s	         specialized IndexingIterator.next()
5.00 ms   0.0%	0 s	          specialized protocol witness for Collection.formIndex(after:) in conformance [A]
5.00 ms   0.0%	0 s	           specialized Array.formIndex(after:)
5.00 ms   0.0%	0 s	            PluginDispatcher.dispatch<each A>(event:)
5.00 ms   0.0%	0 s	             specialized IndexingIterator.next()
5.00 ms   0.0%	0 s	              specialized protocol witness for Collection.formIndex(after:) in conformance [A]
5.00 ms   0.0%	5.00 ms	               specialized Array.formIndex(after:)
5.00 ms   0.0%	0 s	         destroy for IndexingIterator
5.00 ms   0.0%	0 s	          completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	           destroy for IndexingIterator
8.04 µs   0.0%	0 s	         DYLD-STUB$$swift_bridgeObjectRelease
8.04 µs   0.0%	0 s	          completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
8.04 µs   0.0%	8.04 µs	           DYLD-STUB$$swift_bridgeObjectRelease
802.21 ms   0.0%	0 s	        PluginDispatcher.dispatch<each A>(event:)
415.59 ms   0.0%	0 s	         protocol witness for FuzzPlugin.handle<A>(event:) in conformance CoverageGapPlugin
285.41 ms   0.0%	0 s	          CoverageGapPlugin.handle<each A>(event:)
105.15 ms   0.0%	0 s	           initializeWithCopy for PluginEvent
50.00 ms   0.0%	0 s	            __swift_instantiateGenericMetadata
45.00 ms   0.0%	0 s	             _swift_getGenericMetadata(swift::MetadataRequest, void const* const*, swift::TargetTypeContextDescriptor<swift::InProcess> const*)
20.00 ms   0.0%	0 s	              getCache(swift::TargetTypeContextDescriptor<swift::InProcess> const&)
20.00 ms   0.0%	20.00 ms	               getCache(swift::TargetTypeContextDescriptor<swift::InProcess> const&)
10.00 ms   0.0%	0 s	              std::__1::pair<swift::GenericCacheEntry*, swift::MetadataResponse> swift::LockingConcurrentMap<swift::GenericCacheEntry, swift::LockingConcurrentMapStorage<swift::GenericCacheEntry, (unsigned short)14>>::getOrInsert<swift::MetadataCacheKey, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&>(swift::MetadataCacheKey, swift::MetadataRequest&, swift::TargetTypeContextDescriptor<swift::InProcess> const*&, void const* const*&)
5.00 ms   0.0%	0 s	               swift::MetadataCacheEntryBase<swift::GenericCacheEntry, void const*>::awaitSatisfyingState(swift::ConcurrencyControl&, swift::MetadataRequest)
5.00 ms   0.0%	5.00 ms	                swift::MetadataCacheEntryBase<swift::GenericCacheEntry, void const*>::awaitSatisfyingState(swift::ConcurrencyControl&, swift::MetadataRequest)
5.00 ms   0.0%	0 s	               swift::MetadataCacheKey::operator==(swift::MetadataCacheKey const&) const
5.00 ms   0.0%	0 s	                completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                 swift::MetadataCacheKey::operator==(swift::MetadataCacheKey const&) const
5.00 ms   0.0%	0 s	              swift::TargetContextDescriptor<swift::InProcess>::getGenericContext() const
5.00 ms   0.0%	0 s	               completeTaskWithClosure(swift::AsyncContext*, swift::SwiftError*)
5.00 ms   0.0%	5.00 ms	                swift::TargetContextDescriptor<swift::InProcess>::getGenericContext() const
